x,y,type
-0.06478611731634694,0.957884242497053,coast
-0.07094369467285658,0.9666996514687939,coast
-0.0791828670567693,0.9743601010239076,coast
-0.09009583715756549,0.9770938772651899,coast
-0.10079192235179245,0.9731894141618641,coast
-0.11185348153392612,0.9758899657846901,coast
-0.12046337097207643,0.983437141521334,coast
-0.13188980910436943,0.9827114905406018,coast
-0.14042577332494457,0.9889747542355983,coast
-0.14931046643197754,0.9947326519145988,coast
-0.15724639290428757,0.9860762676736323,coast
-0.16739470741684997,0.9801666458874873,coast
-0.17920512258796736,0.9767148160561512,coast
-0.19058279719918023,0.9813998513964687,coast
-0.19804803394062576,0.9733929938180104,coast
-0.20740622026885058,0.9677128638429334,coast
-0.2159157397879484,0.9609789186842055,coast
-0.22389323823316712,0.953622461765063,coast
-0.23527521440078278,0.9480935431894806,coast
-0.24767884592014547,0.9505971899751643,coast
-0.25781969698741636,0.9570595842288522,coast
-0.26683719355816893,0.9650147181343961,coast
-0.2785955475286304,0.9688788731803933,coast
-0.2907606116917258,0.9665981285164845,coast
-0.30108083438482514,0.96022757629031,coast
-0.30901699232648977,0.9510565169607378,coast
-0.3184112020091965,0.9442060544295937,coast
-0.3300131105478237,0.9449648236399589,coast
-0.3408803898533983,0.943690009245365,coast
-0.35181794124839516,0.9433852458488805,coast
-0.3536518501838622,0.9315360901679839,coast
-0.36137472723471153,0.9223642374439603,coast
-0.37266368180552334,0.9191577044147028,coast
-0.3820981366033805,0.9121782050030859,coast
-0.3929979002359923,0.9165684319812826,coast
-0.4045380406671021,0.9143539119436319,coast
-0.4153244282453599,0.9095649982016111,coast
-0.42151118175925917,0.8995149269195173,coast
-0.4327449927135891,0.8959891502795974,coast
-0.4434079996647015,0.9009821345808703,coast
-0.4501021497886444,0.8914097823624039,coast
-0.4613883234777502,0.8883991584510532,coast
-0.46393656381460324,0.8779281895305519,coast
-0.4688108744932798,0.8683169557722765,coast
-0.4739627816640317,0.8582096034713284,coast
-0.4716711062804594,0.8470988455328322,coast
-0.47689701857942934,0.836991116988544,coast
-0.4745071855967118,0.8258661435505417,coast
-0.4796012773834431,0.8163425270879642,coast
-0.48209621728699165,0.8058342295790619,coast
-0.48728860301361726,0.7939136014217618,coast
-0.49941424207317947,0.7892198691545887,coast
-0.5049379256126385,0.7775815257943214,coast
-0.5011096666220367,0.7652808530844064,coast
-0.5127586895451762,0.7633162549069235,coast
-0.5208550269448472,0.7547134238744385,coast
-0.5308007974451666,0.7495589436623412,coast
-0.540440521641775,0.7438525670085223,coast
-0.549419814608279,0.73765843708184,coast
-0.5591323225280378,0.732692338247186,coast
-0.5705225502622591,0.7329438346317623,coast
-0.5800685023583907,0.7267248848130838,coast
-0.5911822896174506,0.725246006853968,coast
-0.6019348292732851,0.722070123007335,coast
-0.6135974550714093,0.722379614794848,coast
-0.6231774714922436,0.7290381364813904,coast
-0.6331946534882085,0.7343074567932115,coast
-0.6438966447176129,0.7379921624008016,coast
-0.6552469622801482,0.7375669470142215,coast
-0.666403119354792,0.7397001784178101,coast
-0.6755223721155952,0.7317360228142976,coast
-0.6876040988568513,0.7325236930130459,coast
-0.6981875589127609,0.7284294889098263,coast
-0.706855049632452,0.7211050955139252,coast
-0.7136683410048654,0.7120190204132005,coast
-0.7203223298113983,0.7028156442379077,coast
-0.7227996440911688,0.6911530210889362,coast
-0.7315838757621799,0.6830913129135131,coast
-0.7339289945880499,0.6703328242392561,coast
-0.7264607180382356,0.659726059372715,coast
-0.7294206695553421,0.6479195568381619,coast
-0.7364852582000259,0.6380076245157822,coast
-0.7471384407069882,0.6344065853663231,coast
-0.75744082894806,0.6298989721383705,coast
-0.7674582864500783,0.6248124933233178,coast
-0.7774637600610833,0.6197024816442506,coast
-0.7844710631333914,0.6100438669316586,coast
-0.7957892446414409,0.6062636682775765,coast
-0.8034986690780059,0.5978087097653364,coast
-0.8090169926869255,0.587785254615836,coast
-0.8141094620101264,0.5767063624151614,coast
-0.825420082721322,0.572151699383785,coast
-0.8251930097771971,0.5603246772078903,coast
-0.831516008827828,0.5503271925904087,coast
-0.834566401128709,0.5389663081454255,coast
